sample_name	X	Y
X14_10N_H_N_1	13.5	4.625
X14_10S_H_C_1	13.5	6.375
X14_15N_H_N_0	9	13.125
X14_15S_H_C_0	9	14.875
X14_16N_H_N_1	13.5	13.125
X14_16S_H_C_1	13.5	14.875
X14_18N_H_N_0	22.5	13.125
X14_18S_H_C_0	22.5	14.875
X14_1N_H_N_1	0	-0.875
X14_1S_H_C_1	0	0.875
X14_20N_H_N_1	4.5	18.625
X14_20S_H_C_1	4.5	20.375
X14_21N_H_N_2	9	18.625
X14_21S_H_C_2	9	20.375
X14_22N_H_N_2	13.5	18.625
X14_22S_H_C_2	13.5	20.375
X14_2N_H_N_0	4.5	-0.875
X14_2S_H_C_0	4.5	0.875
X14_4N_H_N_2	13.5	-0.875
X14_4S_H_C_2	13.5	0.875
X14_5N_H_N_0	18	-0.875
X14_5s_H_C_0	18	0.875
X14_7N_H_N_2	0	4.625
X14_7S_H_C_2	0	6.375
